vat,ragione,pec
00214350217,DAMIANI-HOLZ&KO,info@pec.lignoalp.com
011667890153,DANONE NUTRICIA SPA SOCIETA' BENEFIT,
02733200352,DANPHIX SPA,info@pec.danphix.com
013478441002,DAO SPA,
06205961003,DASA-RAGISTER S.P.A.,amministrazione@pec.dasa-raegister.com
03222390159,DASIT SPA,dasit@pec.it
011188501008,DATA MANAGEMENT PA - S.P.A.,
00311430375,DATA PROCESSING,dataprocessing.pec@legalmail.it
014788511005,DATAMANAGEMENT ITALIA,
04759990155,DATAMATIC SISTEMI E SERVIZI,datamaticdss@pec.it
00711530212,DATEF SPA,infodatef@legalmail.it
03543000370,DAY RISTOSERVICE SPA SOCIETA' BENEFIT,dayristoservicespa@legalmail.it
00710830282,DB ELETTRONICA TELECOMUNICAZIONI S.P.A.,pec@pec.dbbroadcast.com
00812680254,DBA PRO. S.P.A.,dbaprogetti@legalmail.it
09293820156,DBINFORMATION SPA,direzione@pec.dbinformation.it
00986671006,DE BESI-DI GIACOMO,dbg@pec.debesidigiacomo.it
00171400245,DE FACCI LUIGI S.P.A.,defacci-spa@pec.it
02018370656,DE IULIIS MACCHINE,deiuliis@pec.deiuliis.com
00166040188,DE LAMA - S.P.A.,amministrazione@pec.delama.it
00862680154,DE LORENZO SPA,delorenzospa@pec.it
07111820630,DE LUCA,delucaspa@pec.it
03325020638,DE SANCTIS COSTRUZIONI S.P.A.,desanctiscostruzioni@legalmail.it
01208990398,DE STEFANI GROUP,info@pec.destefanigroup.com
00545040768,DE VIVO S.P.A.,f2.2023potenza@pecfallimenti.it
03757510015,DE VIZIA TRANSFER S.P.A.,info@cert.devizia.com
00502980261,DE ZOTTIS SPA,dezottisspa@pec.it
00726900152,DE.CO.STA SPA,decosta@pec.decosta.it
02492210352,DEA+RO & CO S.P.A.,dearoecospa@legalmail.it
014961281004,DEAS - DIFESA E ANALISI SISTEMI S.P.A.,
02766620724,DEBAR COSTRUZIONI SPA,debarcostruzionispa@pec.it
00582100673,DECAR SPA,decarspa@legalmail.it
01253610685,DECO SPA,posta@pec.decogroup.it
01763870225,DEDAGROUP SPA,dedagroup@legalmail.it
05994810488,DEDALUS ITALIA SPA,dedalus@legalmail.it
00907201008,DEDEM S.P.A.,segreteria@pec.dedem.it
04703770158,DEERNS ITALIA SPA,deernsitalia@pec.it
00367240173,DEFARMA,defarma@legalmail.it
01931030249,DEGROCAR,degrocarsrl@pec.it
06271420637,DEL BO SERVIZI SPA,delboservizi@pec.it
06772370638,DEL BO SPA,delbospa@pec.it
00146220462,DEL DEBBIO SPA,deldebbiospa@pec.azienda-certificata.it
01469790990,DELFINO & PARTNERS SPA,info@pec.studiodelfino.org
012289830155,DELL,
01158230639,DELLA PENNA AUTOTRASPORTI SPA,dellapenna@legalmail.it
03049560166,DELOITTE & TOUCHE S.P.A.,deloittetouchespa@deloitte.legalmail.it
02244550014,DELSEDIME LUIGI SPA,spa.delsedime@pec.delsedime.com
01112330228,DELTA INFORMATICA,deltaservizi.tn@postecert.it
01480740602,DELTA LAVORI S.P.A.,pec@deltalavorispa.it
01693020206,DELTA MED S.P.A.,deltamedspa@pec.it
01219870019,DELTA-TI IMPIANTI SPA,deltatiimpiantispa@pec.it
01597961000,DEMAX DEPOSITI E TRASPORTI S.P.A.,demaxdepositietrasporti@legalmail.it
01509390926,DEMI,demi.spa@pec.it
01503150243,DENTAL CLUB SPA,dentalclub@pec.it
07314790150,DENTALICA S.P.A.,dentalica@dadapec.com
00584731202,DENTAURUM ITALIA SPA,dentaurumitalia@pec.dentaurum.it
08963710960,DEODATO GALLERY,2doit@pec.it
00514490259,DEON S.P.A.,deonspa@legalmail.it
08242360017,DEPOSITO AVOGADRO SPA,deposito.avogadro@pec.fcagroup.com
00573980729,DEPURECO S.P.A.,depureco@pec.it
00759940216,DERGA CONSULTING SPA,derga@pec.it
03901990659,DERIBLOK,deriblok@pec.it
03708350651,DERVIT,protocollo@pec.dervit.it
00478770167,DESPE SPA,amministrazione@pec.despespa.com
02917420172,DETAS,pec@pec.detas.com
01340740156,DEUTSCHE BANK SPA,dbspa3@actaliscertymail.it
03887440984,DEXIVE S.P.A.,dexivespa@pec.cgn.it
04552670285,DF AUDIT S.P.A.,dfaudit@legalmail.it
03318271214,DGS S.P.A.,dgsspa@pec.it
00754800159,DHL GLOBAL FORWARDING (ITALY),dhlglobalforwarding@pec.dhl.it
01619050634,DI GENNARO SPA,digennaro@legalmail.it
04879190728,DI PINTO & DALESSANDRO S.P.A.,info@pec.dipinto.biz
01913250690,DI VINCENZO DINO E C SPA,divincenzodinospa@igefi.it
02705540165,DIAPATH,diapath@legalmail.it
00675220487,DIARPELL,diarpell@pec.it
02749260028,DIASORIN ITALIA S.P.A.,diasorinitalia@pecdotcom.it
013144290155,DIASORIN SPA,
00099300410,DIBA,dibaspa@pec.it
01160820195,DIBOTEK,dibotek@pec.it
01068901006,DICOFARM SPA,posta@pec.dicofarm.it
00738120260,DIEFFEBI,dieffebi@legalmail.it
01664230263,DIEMMEBI S.P.A. SOCIETÃ_x0080_ BENEFIT,diemmebi@mysecurepec.it
01882951005,DIERRE DIMENSIONE RICAMBI S.P.A.,dierredimensionericambi@pec.it
05871140157,DIESSE DIAGNOSTICA SENESE,diessemilano@pec.diesse.it
00334560125,DIFA COOPER,difacooper@pec.it
013198000153,DIFFERENT SPA,
01053520779,DIGIMAT,digimat@pec.aruba.it
07490560633,DIGIT'ED SPA,digited@pec.digited.it
09526240966,DIGITALPLATFORMS SPA,digitalplatforms@legalmail.it
05677200965,DIGITOUCH,digitouch@legalmail.it
03444940237,DIGITRONICA.IT,digitronica.it@pec.it
03100430408,DILAXIA,dilaxia@legalmail.it
013137960152,DIMAC RED SPA,
02779340369,DIMAR S.P.A.,dimarsrl@registerpec.it
03088040013,DIMENSIONE  SPA,dimensione@pec.gruppodimensione.com
00170580062,DIMO - S.P.A.,dimo@pec.dimospa.it
013819511000,DIREZIONE LAVORO GROUP S.P.A.,
02200000343,DIVERSEY SPA,diversey@legalmail.it
03286510262,DIVITECH SPA,divitech@pec.it
013428550159,DMEDIA GROUP S.P.A.,
02106250398,DML,sede.dml-italia@legpec.it
01423370418,DMM S.P.A.,gap.dmm@cert.ticertifica.it
01576430332,DMO SPA,dmospa@cert.cna.it
011325150156,DOCFLOW ITALIA S.P.A.,
02315050100,DOCKS LANTERNA SPA,direzione@pec.dockslanterna.com
010425470019,DOGMA S.P.A.,
01614640223,DOLOMITI ENERGIA HOLDING SPA,info.holding@cert.dolomitienergia.it
01812630224,DOLOMITI ENERGIA SPA,info.commerciale@cert.dolomitienergia.it
04465940262,DOLOMITI ROCCE 4.0 S.P.A.,dolomitirocce4.0@legalmail.it
07624990961,DOMEC S.P.A.,domecspa@pec.net
09299961210,DOMENICO ESPOSITO S.P.A.,domenicoespositospa@pec.it
03133580872,DOMENICO SANFILIPPO EDITORE SOCIETA' PER AZIONI,domenicosanfilippoeditore@impresapec.it
00652800434,DOMINA S.P.A,viavaispa@legalmail.it
00791570153,DOMPE' FARMACEUTICI SPA,dirammfin@pec.dompe.it
01177241005,DONATI S.P.A.,donatisparoma@legalmail.it
00119550697,DONATO DI FONZO E FRATELLI SPA,difonzospa@pec.it
09051221001,DOS DESIGN - SOCIETA' PER AZIONI,dos.design@pec.it
00717200117,DOTT. CARLO AGNESE SPA,carloagnese@pec.carloagnese.com
00935420158,DOXA SPA,doxa@legalmail.it
02714390362,DOXEE SPA,doxee@pec.it
00605750215,DR. SCHAER,drschaer@legalmail.it
09058160152,DRAEGER ITALIA S.P.A.,draegeritalia@legalmail.it
05406791003,DRIVALIA SPA,drivalia@pec.drivalia.com
08906251007,DRIVE LINE SERVICE S.P.A.,amministrazione@pec.dlsspa.it
013692351003,DROMOS APPALTI SPA,
014668071005,DRONUS S.P.A.,
00920490406,DRUMA SPA,drumaspa@cgn.legalmail.it
00891230153,DSV SPA,amministrazione.centrale@pec.saima.it
02034130928,DUE CI SPA,duecispa@legalmail.it
08239110151,DUETORRIHOTELS S.P.A.,duetorrihotels@pec.it
01016870329,DUFERCO ENERGIA,as.dufercospa@pec.duferco.it
04083210403,DUKE S.P.A.,
01767940347,DULEVO INTERNATIONAL,dulevo@pec.dulevo.com
05933050964,DUPLOMATIC MS S.P.A.,duplomaticms@legalmail.it
02095830697,DUPONT ENERGETICA S.P.A.,dupont@pec.it
09405990152,DURANTE SPA,durantespa@pec.it
013434210152,DURING SPA,
03090010012,DYLOG ITALIA SPA,dylog@dylogpec.it
012189480150,E-CARE S.P.A.,
01032180778,E-GEOS  -  S.P.A.,e-geos@pec.it
01177620299,E-MED S.P.A.,pecamministrazione@pec.e-medsrl.it
013063380151,E-WORK S.P.A.,
02981141209,E.FA.S. SPA,efasspa@legalmail.it
00225070499,E.S.A.O.M.-C.E.S.A. SPA,esaomcesaspa@pec.it
01733060568,E.S.CO.PROVINCIALE TUSCIA S.P.A.,escotuscia@pec.it
02141540167,E.T.S. S.P.A. ENGINEERING AND TECHNICAL SERVICES,etseng@pec.it
02005300351,E4 COMPUTER ENGINEERING S.P.A.,gare@pec.e4company.com
010135381001,E4E - ENGINEERING FOR ENVIRONMENT,
03489760540,EAGLEPROJECTS S.P.A.,eagleprojects@pec.it
03656750613,EASY4CLOUD SPA,watson@pec.dirittoitalia.it
02220860130,EASYNET SPA,easynet@enetpec.it
03284110164,EASYTECH SPA,amministrazione@pec.webeasytech.com
09450580015,EATALY S.P.A,eatalysrl@pec.it
04888840487,EB  NEURO SPA,ebneuro@pec.it
04303250759,ECHOLIGHT SPA,echolight@pec.it
01358950390,ECO CERTIFICAZIONI S.P.A,eco@pec.ecocertificazioni.eu
03033240106,ECO ERIDANIA SPA,ecoeridania@pec.ecoeridania.it
02077050983,ECO FLY SPA,ecoflysrl@cgn.legalmail.it
02670760392,ECO NEXT SPA,econext@pec.econext.it
02153560590,ECO SERVICE SPA,ecoservicespa@pec.it
02153560590,ECO SERVICE SPA,ecoservicespa@pec.it
01613350600,ECO-LIRI S.P.A.,gruppoecolirispa@pec.it
00737320259,ECO.RA.V. S.P.A.,amministrazione@pec.ecorav.com
03819960984,ECOACCIAI S.P.A.,eco-acciaispa@legalmail.it
04773540655,ECOAMBIENTE SALERNO S.P.A.,ecoambientesalerno@pec.it
02673330243,ECOCHEM S.P.A.,ecochem@pec.confindustriavicenza.it
01570450302,ECOGAS SPA,scggas@pec.socogasgroup.com
01484940463,ECOL STUDIO SPA,amministrazione@ecolpec.com
06875840727,ECOLAPINTO S.P.A.,direzione@pec.ecolapinto.it
02766990242,ECOLKEM S.P.A.,info@pec.ecolkem.it
00897240792,ECOLOGIA OGGI SPA,ecologiaoggi@legalmail.it
01494430356,ECOLOGIA SOLUZIONE AMBIENTE S.P.A. A SOCIO UNICO,ufficio.legale@pec.ecologia.re.it
00411910730,ECOLOGICA S.P.A.,ecologicaspa@legalmail.it
07933030152,ECONOCOM INTERNATIONAL ITALIA S.P.A.,econocom.it@legalmail.it
04393070612,ECOS SPA,ecos.spa@pec.it
01643170929,ECOSERDIANA,ecoserdiana@legalmail.it
011444081001,ECOSFERA SERVIZI S.P.A.,
01312631003,ECOSYSTEM S.P.A.,ecosystemspa@unapec.it
00990890733,ECOTARAS S.P.A.,postmaster@pec.ecotaras.it
013753031007,ECUBIT,
00644380438,EDIF SPA,edifspa@legalmail.it
012625560961,EDIFICANTE S.P.A.,
00236170817,EDIL - SIDER S.P.A.,edilsiderspa@pec.it
03509521211,EDIL SAN FELICE S.P.A. SOCIETA' BENEFIT,info@pec.edilsanfelice.it
00111640660,EDILFRAIR COSTRUZIONI GENERALI S.P.A.,edilfrair@legalmail.it
01422451219,EDILGEN SPA,info@pec.edilgen.net
00239240351,EDILGRISENDI SPA,societaedilgrisendi@open.legalmail.it
00197290216,EDILIZIA WIPPTAL SPA,wipptalerbau@profimail.it
01438360990,EDILIZIACROBATICA S.P.A.,ediliziacrobaticaspa@pec.it
03375700246,EDILKLIMA GROUP SPA,edilklimagroup@legalmail.it
03695171219,EDILNOLEGGI S.P.A.,edilnoleggispa@pec.it
00230640138,EDILSIDER S.P.A.,pec@pec.edilsider.com
00233830942,EDILSIDER SPA,edilsider@pec.it
00103110334,EDILSTRADE BUILDING SPA,edilstrade-building@pecmail.net
01699250260,EDILVI SPA,edilvi@legalmail.it
07662361000,EDILZETA SPA,edilzeta@gigapec.it
08526440154,EDISON ENERGIA S.P.A,edisonenergia@pec.edison.it
08414430960,EDISON FACILITY SOLUTIONS S.P.A.,pec@pec.edison.it
06439101004,EDISON NEXT S.P.A.,edisonnext@pec.edison.it
00979980042,EDITEL,editelcostruzioni@pec.it
07835550158,EDITORIALE DOMUS,amministrazione.pec@editorialedomus.it
00870060233,EDITRICE T.N.V. S.P.A.,m.avesani@pec.telenuovo.it
01063120222,EDIZIONI CENTRO STUDI ERICKSON SPA,erickson@pec.it
00834980153,EDIZIONI CONDE' NAST SPA,amministrazione@pec.condenast.it
00469310015,EDIZIONI MINERVA MEDICA,minervamedica@minervamedica.telecompost.it
00289510638,EDIZIONI SCIENTIFICHE ITALIANE E.S.I.,amministrazione@pec-edizioniesi.it
08056040960,EDRA SPA,edra_spa@pec.it
03331230270,EDULIFE SPA SOCIETA' BENEFIT,amministrazione@pec.edulife.eu
00887630465,EFFEBI S.P.A.,effebi@pec.it
01658060601,EFFEGI SPA,effegispa@pec.it
04390080754,EFFICIENZA ENERGIA SPA,efficienzaenergia@pec.it
03151350968,EFFIK ITALIA SPA,effikitalia@legalmail.it
06807661001,EFM,amministrazioneefm@pec.it
012432150154,EG S.P.A.,
09170690151,EGEA,egeaspa@legalmail.it
00527910046,EGEA ACQUE S.P.A.,egeacque@pec.egea.it
011790971003,EGOMNIA S.P.A. SOCIETA' UNIPERSONALE,
04130410287,EL-FO SPA CON SOCIO UNICO,elfo@arubapec.it
06697540638,EL.CA. ELETTROMECCANICA CAMPANA S.P.A.,elcaelettromeccanica-na@legalmail.it
03137680488,EL.EN. - S.P.A.,elen@pec.uipservizi.it
00605640283,EL.MO. S.P.A.,elmospa@legalmail.it
00838770287,ELBI S.P.A.,elbi@legalmail.it
04668490966,ELCAM S.P.A.,amministrazione@pec.elcam.it
012319410150,ELCOGRAF SPA,
04063581005,ELE.SI.A. S.P.A.,elesia.amm@postecert.it
09671010156,ELECTA S.P.A.,electaspa@pec.mondadori.it
00521260521,ELECTRA COMMERCIALE S.P.A.,amministrazione@pec.electracommerciale.it
03380570659,ELECTRA SPA,electraweb@pec-elexitalia.it
00072220932,ELECTROLUX PROFESSIONAL,amministrazione@electroluxprofessionalpec.it
02723670960,ELEKTA S.P.A.,elekta@legalmail.it
011021970154,ELEKTRONORM SPA,
05420450487,ELESTA SPA,elesta@pec.uipservizi.it
02119140131,ELETECNO ST S.P.A.,eletecnostspa@legalmail.it
00697920320,ELETTRA SINCROTRONE TRIESTE,sincrotrone.trieste.elettra@legalmail.it
011315091006,ELETTRAGAS S.P.A,
02348300613,ELETTROCAMPANIA,elettrocampania@pec-elexitalia.it
01220581001,ELETTROFORNITURE BORGHINI,borghinispa@pec.it
04385110657,ELETTROFORNITURE SPA,elettroforniture@pec-elexitalia.it
02115460608,ELETTROLAZIO,elettrolazio@pec-elexitalia.it
00641720537,ELETTROMAR S.P.A.,elettromar@legalmail.it
00868450156,ELETTRONICA ASTER S.P.A.,elettronicaasterspa@pec.wmail.it
00527500540,ELETTRONICA BIO MEDICALE SPA,
00066840265,ELETTRONICA VENETA S.P.A.,elettronicaveneta@legalmail.it
01586761007,ELETTROSERVICE SPA,elettroservicespa@pec.it
00793880832,ELETTROSUD SPA,elettrosud@pec.elettrosud.it
00184820280,ELETTROVENETA,elettroveneta@pec.elettroveneta.it
08302040152,ELEXIND,elexind@pec.leonet.it
02698210404,ELFI S.P.A.,elfispa@pec.net
00426150488,ELI LILLY ITALIA S.P.A.,direzione@pec.lilly.it
06290420485,ELI-DENT GROUP S.P.A.,info@pec.elidentgroup.it
02443750969,ELICHE RADICE,certificata@pec.elicheradice.com
08746440018,ELIOR RISTORAZIONE SPA,elior.ristorazione@legalmail.it
05851410158,ELIS ITALIA SPA,elis.italia@legalmail.it
011137870017,ELITE ECOBUILDING S.P.A.,
05239350969,ELITECHGROUP  SPA,egspa@pec.elitechitaly.com
04359700632,ELLEMME SPA,ellemmespa@pec.it
03082160171,ELMA S.P.A.,elmaonline@legalmail.it
01490000120,ELMEC INFORMATICA,elmec.informatica@elmecpec.com
04194450153,ELSAP SPA,elsap.pec.mi@legalmail.it
07563180962,ELY INTERNATIONAL S.P.A.,elypaviasrl@legalmail.it
011003251003,EME RESTAURI S.P.A.,
03402390409,EMICON AC S.P.A.,emiconacspa@arubapec.it
02503180354,EMILIANA CONGLOMERATI SPA,emilianaconglomerati@pec.it
00226090066,EMMEBIESSE S.P.A.,emmebiesse@plionpec.it
02615670698,EMMEDUE EDILIZIA S.P.A.,vittorio.martelli@geopec.it
05637570721,EMMEGIESSE S.P.A.,info@pec.emmegiessespa.it
03765320969,EMU GROUP SPA,info@pec.emu.it
00902140474,ENDIASFALTI S.P.A.,endiasfaltispa@pec.it
01942780154,ENDRESS + HAUSER ITALIA S.P.A.,pec.endress@legalmail.it
06655971007,ENEL ENERGIA SPA,enelenergia@pec.enel.it
00309310605,ENERGAS SPA,energas.spa@legalmail.it
05889601000,ENERGENT,energent@pec.energent.it
02856930249,ENERGIA EUROPA,dir.amm@pec.energia-europa.com
04410730263,ENERGIA S.P.A.,energiaspa@legalmail.it
03245260249,ENERGIA S.P.A.,energia.carburanti@legalmail.it
014311741004,ENERGIA SOCIALE S.P.A.,
03278040245,ENERGIA TERRITORIO RISORSE AMBIENTALI - ETRA S.P.A. SOCIETA' BENEFIT,protocollo@pec.etraspa.it
02799730243,ENERGREEN SPA,energreen@gigapec.it
03647280100,ENERGY COAL S.P.A.,energycoal@legalmail.it
03393050988,ENERGY ITALY SPA,energyitalyspa@legalmail.it
011680670152,ENERGY TEAM S.P.A.,
02577500065,ENERGY WAVE,energywave@pecpinet.it
04746250655,ENERGYCO S.P.A.,energycospa@legalmail.it
02656960362,ENERPLAN S.P.A. SOCIETA' DI INGEGNERIA,amministrazione@pec.enerplan.it
09554090960,ENGAGE,amministrazione@pec.engagegroup.it
01698911003,ENGIE SERVIZI SPA,engie.servizi@pec.engie.com
01108630524,ENGINE S.P.A.,engine@pec.it
04276510288,ENGINE TECHNOLOGY SOLUTIONS SPA,amministrazione@pec.ets-engine.eu
012622480155,ENGINEERING D.HUB,
05724831002,ENGINEERING INGEGNERIA INFORMATICA,engineering.ingegneria.informatica.spa@legalmail.it
00599320223,ENGINSOFT,enginsoft@pec.it
01363950997,ENGINTEC S.P.A.,engintec@pec.it
011140800159,ENGITEL SPA,
09702540155,ENI REWIND S.P.A.,enirewind@pec.enirewind.com
00905811006,ENI S.P.A.,eni@pec.eni.com
01315860286,ENIAC SPA SB,pec@eniacpec.it
011403240960,ENILIVE S.P.A.,
02701740108,ENIMOOV S.P.A.,enimoov@pec.eni.com
06049310961,ENNOVA S.P.A.,ennovaservices@legalmail.it
02052830029,ENRICO COLOMBO S.P.A.,enricocolombo@pec.it
010811841005,ENTE CERTIFICAZIONI S.P.A.,
01755850060,ENTSORGA ITALIA,entsorga@legalmail.it
02314970969,ENVEA S.P.A.,envea@cert.cna.it
07154400019,ENVIRONMENT PARK SPA,environmentpark@pecsoci.ui.torino.it
02487230126,EOLO S.P.A.,eolo@pec.eolo.it
05577471005,EP S.P.A.,epspa@pec.it
013169720151,EPIPOLI SPA,
03630550287,EPITECH GROUP SPA UNIPERSONALE,epitech@legalmail.it
011332181004,EPRCOMUNICAZIONE S.P.A. SOCIETA' BENEFIT,
08022111002,EPS SPA,medicalconceptlab@legalmail.it
03006800605,EPT SOCIETA' DI INGEGNERIA,ept.studioing@pec.it
02667810010,EREDI CAMPIDONICO,campidonicospa@ipsnet.legalmail.it
00999281009,ERGIFE SPA,ergifespa@legalmail.it
01220100885,ERGON S.P.A,ergonspa@legalmail.it
012730811002,ERMES S.P.A.,
00897741005,ERNESTO INVERNIZZI,e.invernizzi@legalmail.it
01629560341,ERREA SPORT S.P.A.,errea.cert@ticertifica.it
01274170057,ERREBI SPA,errebi_auto@legalmail.it
02044501001,ERREBIAN,errebian-amministrazione@gigapec.it
088888888870,ERREBIAN S.P.A.,
01524610506,ERREDUE SPA,erreduegas@pec.intred.it
00230690299,ERREEFFE GROUP S.P.A.,info@pec.erreeffegroup.it
05618691215,ERREGAME S.P.A.,raccomandata@pec.erregame.it
09674060158,ERREKAPPA EUROTERAPICI,ufficio.amministrazione@pec.errekappa.it
02557890692,ESA ENERGIE SPA SOCIETA BENEFIT,energiesrl@pec.cloud
013464240152,ESA SPA,
02116360690,ESA SPA SOCIETA' BENEFIT,esaspa_sb@pec.it
00331890244,ESAC S.P.A.,esac@legalmail.it
05131180969,ESAOTE S.P.A.,esaote@pec.esaote.com
01236860027,ESCAVAZIONI F.LLI BAZZANI SPA,bazzanispa@pec.bazzaniescavazioni.it
05162570013,ESCOSA ESTRAZIONE COMMERCIO SABBIA S.P.A.,escosa@legalmail.it
00707821203,ESPANSIONE MARKETING SPA,espansione@pec.espansione.it
02999990969,ESPRINET S.P.A,esprinet@legalmail.it
03837421001,ESRI ITALIA S.P.A.,legale@pec.esri-italia.it
01236120398,ESSEBI,essebi@pec.lafenicecatering.it
03318780966,ESSITY ITALY,essity@pec.essityitaly.it
01635250226,ESTECO,esteco@pec.esteco.it
012693140159,ESTOR S.P.A.,
01875880971,ESTRACOM S.P.A.,estracom@cert.estraspa.it
01727930131,ETABETA ELECTRONICS S.P.A.,etabetaelectronicsspa@postacertificata.com
06870020481,ETAMBIENTE S.P.A.,etaspa@pec.it
00522801208,ETERNEDILE S.P.A.,eternoospa@pec.eternoo.it
05553880484,ETHOS S.P.A.,ethosgroup@pec.it
06821061212,ETICA ENVIRONMENTAL TECHNOLOGIES INTERNATIONAL,eticaspa@legalmail.it
012720200158,ETJCA,
05883740481,ETRURIA P.A. - S.P.A.,info@pec.etruriapa.it
03873640100,ETT SPA,ett.srl@legalmail.it
03269680967,EUDAIMON SPA - SOCIETÃ_x0080_ CON UNICO SOCIO,eudaimon@pec.eudaimon.it
02157041001,EUFENTE SOCIETA' PER AZIONI,eufente@pec.it
00983680281,EUGANEA ROTTAMI,euganearottamispa@legalmail.it
01474750625,EULUX S.P.A.,eulux@pec.it
02117131009,EUR S.P.A.,eurspa@pec.it
02193670284,EUREKA S.P.A. UNIPERSONALE,eurekasweepers@pec.it
01753841004,EUREL INFORMATICA,amministrazione@pec.eurelinformatica.it
011991500015,EURIZON CAPITAL SGR S.P.A.,
01436300055,EURO BETA,eurobeta@pec.net
02367910243,EURO INFORMATICA S.P.A.,pec@pec.euroinformatica.eu
02458660301,EURO&PROMOS FM S.P.A.,europromos@legalmail.it
01531770442,EUROBUILDING,info@pec.eurobuilding.it
02068960364,EUROCAP PETROLI S.P.A,eurocappetroli@legalmail.it
01358390431,EUROCERT SPA,eurocert@pec.it
08126390155,EUROCLONE S.P.A.,info@pec.euroclone.it
01595211200,EUROCOLUMBUS S.P.A.,eurocolumbus@pec.eurocolumbus.it
00753720879,EUROFARM SPA,eurofarm@cert.tnet.it
04912950013,EUROFIERE,eurofiere@pec.eurofiere.it
00030280267,EUROGROUP,amministrazione@cert.eurogroup.com
04216500019,EUROIMPIANTI S.P.A.,euroimpiantielectronicspa@legalmail.it
03304720281,EUROINTERIM S.P.A. - AGENZIA PER IL LAVORO,eurointerimspa@legalmail.it
00165780305,EUROLEGNO S.P.A.,eurolegno@pec.it
07197740637,EUROMETAL S.P.A.,info@pec.eurometalsrl.com
01306790229,EUROMIX MOTORS S.P.A.,euromixmotors@pecimprese.it
00595740242,EURONDA,euronda@legalmail.it
00080650831,EUROPA AUTO S.P.A.,europa.auto@pec.it
010848200969,EUROPAM SPA,
05035331007,EUROPCAR ITALIA SPA,europcaritalia@legalmail.it
05361440489,EUROPEAN AIR-CRANE S.P.A.,euac@pec.it
01932080896,EUROPEAN CONSTRUCTION COMPANY S.P.A. IN SIGLA ECC S.P.A.,eccspa@pec.it
03544730231,EUROPLAN SPA,europlan@legalmail.it
01610590356,EUROSEI REGGIANI SPA,eurre@cert.postecert.it
02448130167,EUROSINTEX,eurosintex@pec.it
00047510326,EUROSPITAL,eurospital.segreteria@pec.it
02243020266,EUROSYSTEM SPA,eurosystem@pec.net
01386830200,EUROTEND SPA,eurotend@pec.studiorubes.it
01117410538,EUROVINIL SPA,eurovinil.spa@pec.it
01542950983,EUROVIX,eurovix@messaggipec.it
02151110414,EUSEBI SPA,eusebispa@legalmail.it
05982771007,EUSTEMA SPA,amministrazioneeustema@pcert.postecert.it
05546030015,EUTEKNE S.P.A.,eutekne@pec.it
011303820010,EUTOURIST NEW SPA SOC. UNIPERSONALE,
07793240966,EVERIENCE SPA,everience@legalmail.it
01922620354,EVICARRI SPA-BENEFIT,evicarri@pec.evicarri.com
06172060961,EW BUSINESS MACHINES S.P.A.,ewbm@pec.it
013003520965,EW BUSINESS MACHINES S.P.A.,
01022690364,EXACTA+OPTECH LABCENTER,exactalabcenter@pec.it
02018520508,EXACTECH ITALIA SPA,exactechitaliaspa@pec.it
07874490019,EXITONE,exitoneamministrazione@legalmail.it
091126130409,EXPANSION S.P.A.,
02608970360,EXPERT.AI SPA,amministrazione_expertsystem@pec.it
05551171001,EXPLEO ITALIA,expleoitalia@legalmail.it
03903121006,EXPOTRANS SPA,expotrans@pec.it
09320730154,EXPRIVIA,exprivia@pec.it
013221390159,EY ADVISORY S.P.A.,
00891231003,EY S.P.A.,ey@legalmail.it
01587560994,EYE PHARMA S.P.A.,pec@pec.eyepharma.com
02916640275,F&M INGEGNERIA SPA,fm@pec.fm-ingegneria.com
05854380150,F.A.S. SPA,fas.spa@legalmail.it
00251380119,F.I.A.F. SPA,fiaf@legalmail.it
02797570161,F.I.S. S.P.A.,fisimp@legalmail.it
03449060262,F.LLI AMADIO SPA,amministrazione@pec.amadiospa.it
00299550285,F.LLI BELTRAME S.P.A.,beltramespa@legalmail.it
01265870244,F.LLI BONO SPA,bonoflli@legalmail.it
00838370633,F.LLI CASOLARO HOTELLERIE SPA,casolarospa@pec.it
01192120879,F.LLI DI MARTINO S.P.A.,amministrazione@pec.dimartinotrasporti.it
01782190282,F.LLI LANDO S.P.A.,iperlando@pec.it
00353700347,F.LLI LOMBATTI SPA,lombatti@pec.lombatti.it
01193490420,F.LLI SIMONETTI SPA,simonettispa@pec.it
02246020370,F.P. SPA,fp.persici@pec.ascom.bo.it
017323371009,F.P. VIGILANZA ITALIA - SOCIETA' PER AZIONI,
02719550879,F.V. DISTRIBUZIONE S.P.A.,fvdistribuzionespa@pec.it
07853751217,F1 S.P.A.,f1spa@legalmail.it
08050380966,F2A S.P.A.,f2asrl@legalmail.it
03820731200,FAAC S.P.A.,faac@pec.faactechnologies.com
02850580172,FAB S.P.A.,amministrazione@pec.fabspa.it
00844040576,FABARIS S.P.A.,fabaris@legalmail.it
00736070178,FABARM SPA,am@pec.fabarm.com
010725990153,FABAS LUCE,
01541040174,FABBRICA D'ARMI PIETRO BERETTA - S.P.A.,f.armi.beretta@legalmail.it
00035120625,FABBRICHE RIUNITE TORRONE DI BENEVENTO S.P.A. IN SIGLA F.R.T.B.S. P.A.,rosa@pec.frtb.it
015939751002,FABLESS SISTEMA ITALIA S.P.A.,
02654890025,FABRICK S.P.A.,amministrazione.fabrick@pec.fabrick.com
02574360232,FACCHIN S.P.A.,spa@pec.fordfacchin.it
02379940923,FADDA SPA,faddaammne@legalmail.it
01942570225,FAE GROUP S.P.A.,faegroup@pec.it
